[00:40:48] [User Authenticator #12/INFO]: UUID of player tannerd88 is e0436caf-67d5-4325-85f0-1e0aff6dc16e
[00:40:48] [Server thread/INFO]: tannerd88[/209.6.44.49:50593] logged in with entity id 67912 at (-4319.629877346516, 66.0, -1395.9815485744612)
[00:40:48] [Server thread/INFO]: tannerd88 joined the game
[00:41:13] [Server thread/INFO]: tannerd88 lost connection: Disconnected
[00:41:13] [Server thread/INFO]: tannerd88 left the game
[00:53:39] [User Authenticator #13/INFO]: UUID of player papajohnxiiv is c473b258-b583-4d22-b435-f516c3b7e0c6
[00:53:39] [Server thread/INFO]: papajohnxiiv[/45.56.142.7:51133] logged in with entity id 68217 at (-4267.6744764885, 87.0, -1504.3030276004313)
[00:53:39] [Server thread/INFO]: papajohnxiiv joined the game
[00:56:42] [User Authenticator #14/INFO]: UUID of player tannerd88 is e0436caf-67d5-4325-85f0-1e0aff6dc16e
[00:56:42] [Server thread/INFO]: tannerd88[/209.6.44.49:50832] logged in with entity id 68796 at (-4317.201584853404, 66.0, -1390.557806221159)
[00:56:42] [Server thread/INFO]: tannerd88 joined the game
[01:00:59] [Server thread/INFO]: <tannerd88> hello?
[01:01:14] [Server thread/INFO]: papajohnxiiv lost connection: Disconnected
[01:01:14] [Server thread/INFO]: papajohnxiiv left the game
[01:03:40] [User Authenticator #15/INFO]: UUID of player papajohnxiiv is c473b258-b583-4d22-b435-f516c3b7e0c6
[01:03:40] [Server thread/INFO]: papajohnxiiv[/45.56.142.7:52583] logged in with entity id 70868 at (-4313.354198407072, 89.49390748022948, -1438.1442352129518)
[01:03:40] [Server thread/INFO]: papajohnxiiv joined the game
[01:05:52] [Server thread/INFO]: tannerd88 lost connection: Disconnected
[01:05:52] [Server thread/INFO]: tannerd88 left the game
[01:05:55] [User Authenticator #16/INFO]: UUID of player tannerd88 is e0436caf-67d5-4325-85f0-1e0aff6dc16e
[01:05:55] [Server thread/INFO]: tannerd88[/209.6.44.49:50851] logged in with entity id 71347 at (-4350.986378169079, 47.71432155689964, -1290.621015449961)
[01:05:55] [Server thread/INFO]: tannerd88 joined the game
[01:07:43] [Server thread/WARN]: Trying to add entity with duplicated UUID dffe8545-453a-43ee-b9bb-144a0243b04d. Existing minecraft:armor_stand#71787, new: minecraft:armor_stand#71787
[01:13:29] [Server thread/WARN]: Trying to add entity with duplicated UUID 11431b92-c667-470a-898a-c795c2c4abf8. Existing minecraft:armor_stand#73179, new: minecraft:armor_stand#73179
[01:16:52] [Server thread/INFO]: [papajohnxiiv: Teleported papajohnxiiv to tannerd88]
[01:19:19] [Server thread/INFO]: papajohnxiiv has made the advancement [Hot Stuff]
[01:20:40] [Server thread/INFO]: [tannerd88: Teleported tannerd88 to papajohnxiiv]
[01:22:03] [Server thread/INFO]: [papajohnxiiv: Teleported papajohnxiiv to tannerd88]
[01:26:59] [Server thread/INFO]: [tannerd88: Teleported tannerd88 to -4315.5, 67.0, -1395.5]
[01:28:49] [Server thread/INFO]: [tannerd88: Teleported tannerd88 to -4315.5, 67.0, -1395.5]
[01:29:31] [Server thread/INFO]: [tannerd88: Teleported tannerd88 to -4315.5, 67.0, -1395.5]
[01:29:58] [Server thread/INFO]: [papajohnxiiv: Teleported papajohnxiiv to tannerd88]
[01:31:13] [Server thread/INFO]: [papajohnxiiv: Teleported papajohnxiiv to tannerd88]
[01:33:47] [Server thread/INFO]: [papajohnxiiv: Teleported papajohnxiiv to tannerd88]
[01:34:44] [Server thread/INFO]: <tannerd88> can you hear me?
[01:35:00] [Server thread/INFO]: <tannerd88> i cant hear you anymore
[01:55:49] [Server thread/INFO]: [papajohnxiiv: Teleported papajohnxiiv to tannerd88]
[02:00:36] [Server thread/INFO]: [papajohnxiiv: Teleported papajohnxiiv to tannerd88]
[02:03:26] [Server thread/INFO]: [papajohnxiiv: Teleported papajohnxiiv to tannerd88]
[02:07:26] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/85431, l='ServerLevel[world]', x=-4598.35, y=93.44, z=-463.47]
[02:07:26] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/85431, l='ServerLevel[world]', x=-4598.35, y=93.44, z=-463.47]
[02:07:26] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Stairs'/85432, l='ServerLevel[world]', x=-4598.27, y=92.45, z=-464.44]
[02:07:26] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Stairs'/85432, l='ServerLevel[world]', x=-4598.27, y=92.45, z=-464.44]
[02:07:26] [Server thread/WARN]: Fetching packet for removed entity bcs['Light Gray Wool'/85458, l='ServerLevel[world]', x=-4585.69, y=88.55, z=-460.36]
[02:07:26] [Server thread/WARN]: Fetching packet for removed entity bcs['Light Gray Wool'/85458, l='ServerLevel[world]', x=-4585.69, y=88.55, z=-460.36]
[02:07:26] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Stairs'/85463, l='ServerLevel[world]', x=-4585.70, y=90.51, z=-458.47]
[02:07:26] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Stairs'/85463, l='ServerLevel[world]', x=-4585.70, y=90.51, z=-458.47]
[02:07:26] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/85464, l='ServerLevel[world]', x=-4587.69, y=93.57, z=-461.54]
[02:07:26] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/85464, l='ServerLevel[world]', x=-4587.69, y=93.57, z=-461.54]
[02:07:26] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/85467, l='ServerLevel[world]', x=-4590.27, y=93.66, z=-460.37]
[02:07:26] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/85467, l='ServerLevel[world]', x=-4590.27, y=93.66, z=-460.37]
[02:08:00] [Server thread/INFO]: tannerd88 has made the advancement [Stone Age]
[02:08:06] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/85725, l='ServerLevel[world]', x=-4608.71, y=82.28, z=-474.41]
[02:08:06] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/85725, l='ServerLevel[world]', x=-4608.71, y=82.28, z=-474.41]
[02:08:06] [Server thread/WARN]: Fetching packet for removed entity bcs['Cobblestone Wall'/85726, l='ServerLevel[world]', x=-4609.36, y=83.30, z=-473.28]
[02:08:06] [Server thread/WARN]: Fetching packet for removed entity bcs['Cobblestone Wall'/85726, l='ServerLevel[world]', x=-4609.36, y=83.30, z=-473.28]
[02:08:06] [Server thread/WARN]: Fetching packet for removed entity bcs['Cobblestone Stairs'/85727, l='ServerLevel[world]', x=-4609.49, y=83.66, z=-474.58]
[02:08:06] [Server thread/WARN]: Fetching packet for removed entity bcs['Cobblestone Stairs'/85727, l='ServerLevel[world]', x=-4609.49, y=83.66, z=-474.58]
[02:08:06] [Server thread/WARN]: Fetching packet for removed entity bcs['Birch Planks'/85730, l='ServerLevel[world]', x=-4607.73, y=82.48, z=-475.28]
[02:08:06] [Server thread/WARN]: Fetching packet for removed entity bcs['Birch Planks'/85730, l='ServerLevel[world]', x=-4607.73, y=82.48, z=-475.28]
[02:08:06] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/85742, l='ServerLevel[world]', x=-4610.40, y=82.45, z=-477.48]
[02:08:06] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Planks'/85742, l='ServerLevel[world]', x=-4610.40, y=82.45, z=-477.48]
[02:08:06] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Log'/85744, l='ServerLevel[world]', x=-4610.63, y=84.60, z=-472.57]
[02:08:06] [Server thread/WARN]: Fetching packet for removed entity bcs['Dark Oak Log'/85744, l='ServerLevel[world]', x=-4610.63, y=84.60, z=-472.57]
[02:08:06] [Server thread/WARN]: Fetching packet for removed entity bcs['Cobblestone Stairs'/85746, l='ServerLevel[world]', x=-4609.40, y=83.32, z=-478.63]
